analysis_metadata_read_groups_2_sequencing_center	cases_0_samples_0_sample_type	file_name	analysis_metadata_read_groups_0_sequencing_center	cases_0_samples_1_portions_0_analytes_0_aliquots_0_submitter_id	file_id	cases_0_samples_1_sample_type	cases_0_samples_0_portions_0_analytes_0_aliquots_0_submitter_id	analysis_metadata_read_groups_1_sequencing_center
	Primary Tumor	5162dab8-17f6-4c1a-b21f-113eb159c54a.vep.reheader.vcf.gz		TCGA-A8-A07J-10A-01W-A021-09	5162dab8-17f6-4c1a-b21f-113eb159c54a	Blood Derived Normal	TCGA-A8-A07J-01A-11W-A019-09	
		nationwidechildrens.org_biospecimen.TCGA-UU-A93S.xml			ffc3e9ba-07f4-48b3-b5d2-95df2871d30d			
	Primary Tumor	334ec5ef-bc13-4a08-b60e-445108510a95.htseq.counts.gz			712ca278-6cc2-4bd9-8751-08367bf5a7af		TCGA-D8-A27K-01A-11R-A16F-07	
	Primary Tumor	c0b05393-e154-459d-a17a-9e03d404ae6e.FPKM-UQ.txt.gz			d7fddb99-6df0-4858-a563-7cbf3b99862a		TCGA-E2-A1AZ-01A-11R-A12P-07	
	Blood Derived Normal	62c70369-5895-49b6-8dcd-7ebe7a1c986b.vep.reheader.vcf.gz		TCGA-EW-A1OV-01A-11D-A142-09	62c70369-5895-49b6-8dcd-7ebe7a1c986b	Primary Tumor	TCGA-EW-A1OV-10A-01D-A142-09	
	Primary Tumor	145755.bam	BCGSC		a4e5b76f-a0e4-48f3-b11d-cc340ee85b57		TCGA-AC-A8OQ-01A-11R-A41G-13	
	Solid Tissue Normal	b07b373c-29e1-4e88-a3a9-783568cc12eb.FPKM.txt.gz			610d35a6-4a56-4832-8866-16cc6a363c1d		TCGA-E9-A1RC-11A-33R-A157-07	
	Primary Tumor	1ff498b2-f0c9-499b-93a5-18f040237ba7_gdc_realn_rehead.bam	UNC		696c2c1b-4216-45e1-b7bb-b2c20fd04fe8		TCGA-A7-A0CG-01A-12R-A056-07	
	Primary Tumor	jhu-usc.edu_BRCA.HumanMethylation450.15.lvl-3.TCGA-C8-A278-01A-11D-A16A-05.gdc_hg38.txt			2397cdeb-1296-4fb9-b2e4-81dbb9c58978		TCGA-C8-A278-01A-11D-A16A-05	
	Blood Derived Normal	KEBAB_p_TCGASNP_226_227_N_GenomeWideSNP_6_E05_1151626.nocnv_grch38.seg.txt			b80f3c7a-6ae0-4b04-bba0-09ad4c2cac17		TCGA-A7-A3RF-10A-01D-A229-01	
	Solid Tissue Normal	mirnas.quantification.txt			b3d800e8-9ba8-4c9d-a7f0-174d7e47d2e5		TCGA-BH-A0DL-11A-13R-A114-13	
	Blood Derived Normal	7da9390f-cd3c-459b-8f6c-1b1403774fbe.vcf.gz		TCGA-GM-A2DH-01A-11D-A17W-09	7da9390f-cd3c-459b-8f6c-1b1403774fbe	Primary Tumor	TCGA-GM-A2DH-10C-01D-A17W-09	
	Primary Tumor	a3b9677e-a154-41f1-857c-4cd5244b77c3.FPKM-UQ.txt.gz			2fe9e43e-4076-4116-a044-9b25a2e2a3c7		TCGA-BH-A1EX-01A-11R-A13Q-07	
	Solid Tissue Normal	d46b61b0-6f34-48ca-8c7d-23ae4d0b1a7c.FPKM-UQ.txt.gz			b82a7318-bde3-4325-8334-a68bcc17817d		TCGA-A7-A0CH-11A-32R-A089-07	
		nationwidechildrens.org_biospecimen.TCGA-AC-A2QJ.xml			2dd0889c-d56f-48c2-ac12-7c67d8abd78c			
	Primary Tumor	mirnas.quantification.txt			afe39273-a7d5-49af-b705-6284ef50e98f		TCGA-C8-A135-01A-11R-A114-13	
	Primary Tumor	mirnas.quantification.txt			8198214f-589d-4117-bcbf-3661395e7331		TCGA-BH-A18Q-01A-12R-A12C-13	
WUGSC	Primary Tumor	45ea8a7da00be45d52b0cc712c7c771c_gdc_realn.bam	WUGSC		5dec5442-a62e-4933-996f-ed8b9f78f564		TCGA-D8-A1JK-01A-11D-A13L-09	WUGSC
	Blood Derived Normal	CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_G10_628232.grch38.seg.txt			93156b6c-5d16-484b-9cfa-4a1e79597931		TCGA-A8-A08A-10A-01D-A012-01	
	Primary Tumor	3ec6fe34-7876-4369-aa8c-c0fd901c8aa2.FPKM.txt.gz			141ca0a2-3b26-4f36-af1d-82b11f157ee1		TCGA-AO-A03R-01A-21R-A034-07	
	Primary Tumor	TCGA-AN-A0XS-01A-22D-A10G-09_IlluminaGA-DNASeq_exome_HOLD_QC_PENDING_gdc_realn.bam	WUGSC		cf8251aa-40b3-4300-ad8a-871eedca28b4		TCGA-AN-A0XS-01A-22D-A10G-09	WUGSC
	Primary Tumor	mirnas.quantification.txt			29421eba-fc14-46fa-b2de-8fad4306b9bd		TCGA-D8-A1X6-01A-11R-A14L-13	
	Primary Tumor	BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_E03_780918.nocnv_grch38.seg.txt			f15a10ef-17e7-4897-8b37-234bef310794		TCGA-BH-A201-01A-11D-A14J-01	
	Primary Tumor	mirnas.quantification.txt			575a0d20-7b4a-47a3-a4cf-4c05c3606569		TCGA-A2-A0CU-01A-12R-A035-13	
	Primary Tumor	8b70fd50-efa5-42b0-8120-1f5787fca8f3.vcf		TCGA-B6-A0I9-10A-01W-A055-09	8b70fd50-efa5-42b0-8120-1f5787fca8f3	Blood Derived Normal	TCGA-B6-A0I9-01A-11W-A050-09	
	Blood Derived Normal	22ddca0d774487fabdd0c68e26a3d6f0_gdc_realn.bam	WUGSC		dcfa3c1e-7201-4a09-bc42-376c98c6282e		TCGA-D8-A1X8-10A-01W-A16I-09	
	Primary Tumor	TAKEN_p_TCGAb_379_400_FFPE_NSP_GenomeWideSNP_6_B06_1513260.grch38.seg.txt			f35df1b5-db5c-4553-9460-5a4b8c22a573		TCGA-AC-A8OR-01A-21D-A41E-01	
	Primary Tumor	90616428-a5f3-43af-9252-66a87d424996.snp.Somatic.hc.vcf.gz		TCGA-EW-A2FW-10A-01D-A17D-09	90616428-a5f3-43af-9252-66a87d424996	Blood Derived Normal	TCGA-EW-A2FW-01A-11D-A17D-09	
	Blood Derived Normal	df42b092-d6b4-431b-8194-4f411f3809aa.snp.Somatic.hc.vcf.gz		TCGA-D8-A1JE-01A-11D-A13L-09	df42b092-d6b4-431b-8194-4f411f3809aa	Primary Tumor	TCGA-D8-A1JE-10A-01D-A188-09	
	Primary Tumor	CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A10_628236.nocnv_grch38.seg.txt			db51959d-ac35-4791-a691-e60400c8af27		TCGA-A8-A08C-01A-11D-A011-01	
	Primary Tumor	TCGA-C8-A1HM-01A-12D-A135-09_IlluminaGA-DNASeq_exome_1_gdc_realn.bam	WUGSC		0c132393-8d20-4e82-86df-750353016323		TCGA-C8-A1HM-01A-12D-A135-09	
	Primary Tumor	77a0da07-9a06-4db5-aede-a74859cb8c4d.vcf.gz		TCGA-AR-A250-10A-01D-A167-09	77a0da07-9a06-4db5-aede-a74859cb8c4d	Blood Derived Normal	TCGA-AR-A250-01A-31D-A167-09	
	Blood Derived Normal	CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_D11_628352.nocnv_grch38.seg.txt			91cfbf2a-8043-45a9-a5da-0cdb3cc038e6		TCGA-A7-A0CD-10A-01D-A012-01	
	Primary Tumor	fb488df1-93c4-4676-a699-3766731ee4ca_gdc_realn_rehead.bam	UNC		916d41f2-5afa-4dbb-8135-6d36133c30a3		TCGA-AO-A128-01A-11R-A10J-07	
	Blood Derived Normal	d5b92edd-94cc-4491-940d-716c8062c7f9.vcf.gz		TCGA-AQ-A1H2-01A-11D-A13L-09	d5b92edd-94cc-4491-940d-716c8062c7f9	Primary Tumor	TCGA-AQ-A1H2-10A-01D-A13O-09	
	Primary Tumor	5c157ae6-8354-4fa6-bae4-32daaafae6a8.vcf		TCGA-BH-A42T-10A-01D-A243-09	5c157ae6-8354-4fa6-bae4-32daaafae6a8	Blood Derived Normal	TCGA-BH-A42T-01A-11D-A243-09	
	Primary Tumor	122243.bam	BCGSC		73b7ad21-eb54-4953-91e0-0d85c02d92be		TCGA-A7-A26J-01A-11R-A168-13	
	Blood Derived Normal	f385c106-52ee-46fa-9a39-3ebdb9474ca7.vcf		TCGA-A7-A0DB-01C-02D-A272-09	f385c106-52ee-46fa-9a39-3ebdb9474ca7	Primary Tumor	TCGA-A7-A0DB-10A-02D-A272-09	
		nationwidechildrens.org_clinical.TCGA-E2-A15R.xml			a4ee4f5b-568b-44a4-83f1-adf17e7deec5			
	Primary Tumor	7bcc02ad-a4c7-44e1-8654-10c4598f936d.FPKM.txt.gz			fe16c6ef-a6c1-44bb-984c-b6c249712707		TCGA-A7-A0DC-01B-04R-A22O-07	
	Blood Derived Normal	CELLA_p_TCGA_177_179_Esph_SNP_N_GenomeWideSNP_6_A01_871140.grch38.seg.txt			fe53998f-f948-4e9d-bdc9-5933cf4582cf		TCGA-GM-A2DC-10C-01D-A18N-01	
	Blood Derived Normal	e96c2bdc-243f-40d7-9220-0b2c87f36d98.vep.reheader.vcf.gz		TCGA-C8-A132-01A-31D-A10Y-09	e96c2bdc-243f-40d7-9220-0b2c87f36d98	Primary Tumor	TCGA-C8-A132-10A-01D-A110-09	
	Blood Derived Normal	c868a243-c207-42af-b5f2-0c6372322f91.vcf.gz		TCGA-A2-A0YT-01A-11D-A10G-09	c868a243-c207-42af-b5f2-0c6372322f91	Primary Tumor	TCGA-A2-A0YT-10A-01D-A10G-09	
	Primary Tumor	680a9ce1-4152-443c-bae2-46a6ad62802f.vep.reheader.vcf.gz		TCGA-LL-A50Y-10A-01D-A25Q-09	680a9ce1-4152-443c-bae2-46a6ad62802f	Blood Derived Normal	TCGA-LL-A50Y-01A-11D-A25Q-09	
	Blood Derived Normal	dccfc6d3-e074-430a-b427-20e3f2a874c9.vcf		TCGA-A2-A04U-01A-11D-A10Y-09	dccfc6d3-e074-430a-b427-20e3f2a874c9	Primary Tumor	TCGA-A2-A04U-10A-01D-A110-09	
	Blood Derived Normal	705c140c-7f8a-4078-b908-1394509c3087.vcf.gz		TCGA-OL-A5RX-01A-11D-A28B-09	705c140c-7f8a-4078-b908-1394509c3087	Primary Tumor	TCGA-OL-A5RX-10A-01D-A28E-09	
